id,created_at,updated_at,numero,data,fornitore_id,fornitore_ragione_sociale,imponibile_cents,costo_trasporto_cents,iva_cents,totale_cents,data_consegna_prevista,data_ricezione,stato,note
oa-001,1736672400000,1737104400000,OA-2025-001,2025-01-12,for-001,Recuperi Alpini Demo S.r.l.,598500,24000,136950,759450,2025-01-19,2025-01-20,ricevuto,Ordine demo.
oa-002,1736758800000,1737190800000,OA-2025-002,2025-01-18,for-002,Demolizioni Laguna Demo S.r.l.,922436,29500,209426,1161362,2025-01-25,2025-01-26,ricevuto,Ordine demo.
oa-003,1736845200000,1737277200000,OA-2025-003,2025-01-24,for-003,Segheria Valverde Demo S.r.l.,1784800,35000,400356,2220156,2025-01-31,2025-02-01,ricevuto,Ordine demo.
oa-004,1736931600000,1737363600000,OA-2025-004,2025-01-30,for-004,Legni Storici Demo S.r.l.,1539000,40500,347490,1926990,2025-02-06,2025-02-07,ricevuto,Ordine demo.
oa-005,1737018000000,1737450000000,OA-2025-005,2025-02-05,for-005,Materiali di Corte Demo S.r.l.,1995630,24000,444319,2463949,2025-02-12,2025-02-13,ricevuto,Ordine demo.
oa-006,1737104400000,1737536400000,OA-2025-006,2025-02-11,for-006,Trasporti Bosco Demo S.r.l.,1650000,29500,369490,2048990,2025-02-18,2025-02-19,ricevuto,Ordine demo.
oa-007,1737190800000,1737622800000,OA-2025-007,2025-02-17,for-007,Ferramenta Restauro Demo S.r.l.,555560,35000,129923,720483,2025-02-24,2025-02-25,ricevuto,Ordine demo.
oa-008,1737277200000,1737709200000,OA-2025-008,2025-02-23,for-008,Recuperi Dolomia Demo S.r.l.,907920,40500,208652,1157072,2025-03-02,2025-03-03,ricevuto,Ricezione con controllo umidità rafforzato.
oa-009,1737363600000,1737795600000,OA-2025-009,2025-03-01,for-009,Antiche Travi Demo S.r.l.,1684800,24000,375936,2084736,2025-03-08,2025-03-09,ricevuto,Ordine demo.
oa-010,1737450000000,1737882000000,OA-2025-010,2025-03-07,for-010,Segheria Circolare Demo S.r.l.,1447040,29500,324839,1801379,2025-03-14,2025-03-15,ricevuto,Ordine demo.
oa-011,1737536400000,1737968400000,OA-2025-011,2025-03-13,for-001,Recuperi Alpini Demo S.r.l.,892200,35000,203984,1131184,2025-03-20,2025-03-21,ricevuto,Ordine demo.
oa-012,1737622800000,1738054800000,OA-2025-012,2025-03-19,for-002,Demolizioni Laguna Demo S.r.l.,1530800,40500,345686,1916986,2025-03-26,2025-03-27,ricevuto,Ordine demo.
oa-013,1737709200000,1738141200000,OA-2025-013,2025-03-25,for-003,Segheria Valverde Demo S.r.l.,516040,24000,118809,658849,2025-04-01,2025-04-02,ricevuto,Ordine demo.
oa-014,1737795600000,1738227600000,OA-2025-014,2025-03-31,for-004,Legni Storici Demo S.r.l.,821448,29500,187209,1038157,2025-04-07,2025-04-08,ricevuto,Ordine demo.
oa-015,1737882000000,1738314000000,OA-2025-015,2025-04-06,for-005,Materiali di Corte Demo S.r.l.,1713600,35000,384692,2133292,2025-04-13,2025-04-14,ricevuto,Ordine demo.
oa-016,1737968400000,1738400400000,OA-2025-016,2025-04-12,for-006,Trasporti Bosco Demo S.r.l.,1182750,40500,269115,1492365,2025-04-19,2025-04-20,ricevuto,Ordine demo.
oa-017,1738054800000,1738486800000,OA-2025-017,2025-04-18,for-007,Ferramenta Restauro Demo S.r.l.,1475760,24000,329947,1829707,2025-04-25,,confermato,Ordine demo.
oa-018,1738141200000,1738573200000,OA-2025-018,2025-04-24,for-008,Recuperi Dolomia Demo S.r.l.,2037000,29500,454630,2521130,2025-05-01,,bozza,Ordine demo.
