id,created_at,updated_at,id_esterno,codice,descrizione,fornitore_id,ordine_acquisto_id,provenienza_tipo,provenienza_localita,provenienza_nazione,anno_stimato,data_acquisto,essenza,patina,qualita,costo_acquisto_cents,ubicazione,stato,note_storiche,note,foto
lot-001,1737363600000,1752224400000,DEMO-LOT-1,L25-001,Tavola abete prima patina da Recuperi Alpini Demo S.r.l.,for-001,oa-001,fienile,Val di Fassa,IT,1890,2025-01-12,abete,prima_patina,A,622500,A01-01,disponibile,Provenienza sintetica documentata nel verbale DEMO-1.,Lotto demo ricevuto e fotografato.,
lot-002,1737882000000,1752310800000,DEMO-LOT-2,L25-002,Tavola larice seconda patina da Demolizioni Laguna Demo S.r.l.,for-002,oa-002,cascina,Bassa Padana,IT,1900,2025-01-18,larice,seconda_patina,A,951936,A02-02,disponibile,Provenienza sintetica documentata nel verbale DEMO-2.,Lotto demo ricevuto e fotografato.,
lot-003,1738400400000,1752397200000,DEMO-LOT-3,L25-003,Tavola rovere prima patina da Segheria Valverde Demo S.r.l.,for-003,oa-003,edificio_civile,Alta Lessinia,IT,1910,2025-01-24,rovere,prima_patina,B,1819800,A03-03,disponibile,Provenienza sintetica documentata nel verbale DEMO-3.,Lotto demo ricevuto e fotografato.,
lot-004,1738918800000,1752483600000,DEMO-LOT-4,L25-004,Tavola castagno naturale da Legni Storici Demo S.r.l.,for-004,oa-004,fienile,Langhe,IT,1920,2025-01-30,castagno,naturale,A,1579500,A04-04,disponibile,Provenienza sintetica documentata nel verbale DEMO-4.,Lotto demo ricevuto e fotografato.,
lot-005,1739437200000,1752570000000,DEMO-LOT-5,L25-005,Tavola olmo prima patina da Materiali di Corte Demo S.r.l.,for-005,oa-005,cascina,Val di Fassa,IT,1930,2025-02-05,olmo,prima_patina,A,2019630,A05-01,disponibile,Provenienza sintetica documentata nel verbale DEMO-5.,Lotto demo ricevuto e fotografato.,
lot-006,1739955600000,1752656400000,DEMO-LOT-6,L25-006,Tavola noce naturale da Trasporti Bosco Demo S.r.l.,for-006,oa-006,edificio_civile,Bassa Padana,IT,1940,2025-02-11,noce,naturale,B,1679500,A06-02,disponibile,Provenienza sintetica documentata nel verbale DEMO-6.,Lotto demo ricevuto e fotografato.,
lot-007,1740474000000,1752742800000,DEMO-LOT-7,L25-007,Perlinato abete grigio da Ferramenta Restauro Demo S.r.l.,for-007,oa-007,fienile,Alta Lessinia,IT,1950,2025-02-17,abete,grigio,A,590560,A01-03,disponibile,Provenienza sintetica documentata nel verbale DEMO-7.,Lotto demo ricevuto e fotografato.,
lot-008,1740992400000,1752829200000,DEMO-LOT-8,L25-008,Perlinato larice bruciato sole da Recuperi Dolomia Demo S.r.l.,for-008,oa-008,cascina,Langhe,IT,1890,2025-02-23,larice,bruciato_sole,A,948420,A02-04,quarantena,Provenienza sintetica documentata nel verbale DEMO-8.,In attesa esito controllo umidità.,
lot-009,1741510800000,1752915600000,DEMO-LOT-9,L25-009,Pannello rovere recuperato da Antiche Travi Demo S.r.l.,for-009,oa-009,edificio_civile,Val di Fassa,IT,1900,2025-03-01,rovere,seconda_patina,B,1708800,A03-01,disponibile,Provenienza sintetica documentata nel verbale DEMO-9.,Lotto demo ricevuto e fotografato.,
lot-010,1742029200000,1753002000000,DEMO-LOT-10,L25-010,Pannello castagno spazzolato da Segheria Circolare Demo S.r.l.,for-010,oa-010,fienile,Bassa Padana,IT,1910,2025-03-07,castagno,spazzolato,A,1476540,A04-02,disponibile,Provenienza sintetica documentata nel verbale DEMO-10.,Lotto demo ricevuto e fotografato.,
lot-011,1742547600000,1753088400000,DEMO-LOT-11,L25-011,Lamella olmo naturale da Recuperi Alpini Demo S.r.l.,for-001,oa-011,cascina,Alta Lessinia,IT,1920,2025-03-13,olmo,naturale,A,927200,A05-03,disponibile,Provenienza sintetica documentata nel verbale DEMO-11.,Lotto demo ricevuto e fotografato.,
lot-012,1743066000000,1753174800000,DEMO-LOT-12,L25-012,Lamella noce prima patina da Demolizioni Laguna Demo S.r.l.,for-002,oa-012,edificio_civile,Langhe,IT,1930,2025-03-19,noce,prima_patina,B,1571300,A06-04,disponibile,Provenienza sintetica documentata nel verbale DEMO-12.,Lotto demo ricevuto e fotografato.,
lot-013,1743584400000,1753261200000,DEMO-LOT-13,L25-013,Travatura abete recuperata da Segheria Valverde Demo S.r.l.,for-003,oa-013,fienile,Val di Fassa,IT,1940,2025-03-25,abete,seconda_patina,A,540040,A01-01,disponibile,Provenienza sintetica documentata nel verbale DEMO-13.,Lotto demo ricevuto e fotografato.,
lot-014,1744102800000,1753347600000,DEMO-LOT-14,L25-014,Travatura larice recuperata da Legni Storici Demo S.r.l.,for-004,oa-014,cascina,Bassa Padana,IT,1950,2025-03-31,larice,prima_patina,A,850948,A02-02,disponibile,Provenienza sintetica documentata nel verbale DEMO-14.,Lotto demo ricevuto e fotografato.,
lot-015,1744621200000,1753434000000,DEMO-LOT-15,L25-015,Travatura rovere recuperata da Materiali di Corte Demo S.r.l.,for-005,oa-015,edificio_civile,Alta Lessinia,IT,1890,2025-04-06,rovere,naturale,B,1748600,A03-03,disponibile,Provenienza sintetica documentata nel verbale DEMO-15.,Lotto demo ricevuto e fotografato.,
lot-016,1745139600000,1753520400000,DEMO-LOT-16,L25-016,Pavimento castagno antico da Trasporti Bosco Demo S.r.l.,for-006,oa-016,fienile,Langhe,IT,1900,2025-04-12,castagno,prima_patina,A,1223250,A04-04,disponibile,Provenienza sintetica documentata nel verbale DEMO-16.,Lotto demo ricevuto e fotografato.,
