id,created_at,data,tipo,origine,articolo_id,lotto_id,quantita_milli,unita_misura,valore_unitario_cents,valore_totale_cents,documento_tipo,documento_id,documento_numero,causale,note
mov-c-001,1737363600000,2025-01-20,carico,acquisto,art-001,lot-001,150000,mq,3990,622500,ordine_acquisto,oa-001,OA-2025-001,Ricezione merce,
mov-c-002,1737882000000,2025-01-26,carico,acquisto,art-002,lot-002,172000,mq,5363,951936,ordine_acquisto,oa-002,OA-2025-002,Ricezione merce,
mov-c-003,1738400400000,2025-02-01,carico,acquisto,art-003,lot-003,194000,mq,9200,1819800,ordine_acquisto,oa-003,OA-2025-003,Ricezione merce,
mov-c-004,1738918800000,2025-02-07,carico,acquisto,art-004,lot-004,216000,mq,7125,1579500,ordine_acquisto,oa-004,OA-2025-004,Ricezione merce,
mov-c-005,1739437200000,2025-02-13,carico,acquisto,art-005,lot-005,238000,mq,8385,2019630,ordine_acquisto,oa-005,OA-2025-005,Ricezione merce,
mov-c-006,1739955600000,2025-02-19,carico,acquisto,art-006,lot-006,150000,mq,11000,1679500,ordine_acquisto,oa-006,OA-2025-006,Ricezione merce,
mov-c-007,1740474000000,2025-02-25,carico,acquisto,art-007,lot-007,172000,mq,3230,590560,ordine_acquisto,oa-007,OA-2025-007,Ricezione merce,
mov-c-008,1740992400000,2025-03-03,carico,acquisto,art-008,lot-008,194000,mq,4680,948420,ordine_acquisto,oa-008,OA-2025-008,Ricezione merce,Carico in quarantena qualità.
mov-c-009,1741510800000,2025-03-09,carico,acquisto,art-009,lot-009,216000,mq,7800,1708800,ordine_acquisto,oa-009,OA-2025-009,Ricezione merce,
mov-c-010,1742029200000,2025-03-15,carico,acquisto,art-010,lot-010,238000,mq,6080,1476540,ordine_acquisto,oa-010,OA-2025-010,Ricezione merce,
mov-c-011,1742547600000,2025-03-21,carico,acquisto,art-011,lot-011,150000,mq,5948,927200,ordine_acquisto,oa-011,OA-2025-011,Ricezione merce,
mov-c-012,1743066000000,2025-03-27,carico,acquisto,art-012,lot-012,172000,mq,8900,1571300,ordine_acquisto,oa-012,OA-2025-012,Ricezione merce,
mov-c-013,1743584400000,2025-04-02,carico,acquisto,art-013,lot-013,194000,ml,2660,540040,ordine_acquisto,oa-013,OA-2025-013,Ricezione merce,
mov-c-014,1744102800000,2025-04-08,carico,acquisto,art-014,lot-014,216000,ml,3803,850948,ordine_acquisto,oa-014,OA-2025-014,Ricezione merce,
