id,data,tipo,direzione,documento_id,documento_numero,controparte,importo_cents,stato,fonte_csv,descrizione
trx-0001,2025-01-12,ordine_acquisto,uscita,oa-001,OA-2025-001,Recuperi Alpini Demo S.r.l.,759450,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0002,2025-01-18,ordine_acquisto,uscita,oa-002,OA-2025-002,Demolizioni Laguna Demo S.r.l.,1161362,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0003,2025-01-24,ordine_acquisto,uscita,oa-003,OA-2025-003,Segheria Valverde Demo S.r.l.,2220156,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0111,2025-01-27,fattura_acquisto,uscita,fa-001,FA-DEMO-001,Recuperi Alpini Demo S.r.l.,759450,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0004,2025-01-30,ordine_acquisto,uscita,oa-004,OA-2025-004,Legni Storici Demo S.r.l.,1926990,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0112,2025-02-02,fattura_acquisto,uscita,fa-002,FA-DEMO-002,Demolizioni Laguna Demo S.r.l.,1161362,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0005,2025-02-05,ordine_acquisto,uscita,oa-005,OA-2025-005,Materiali di Corte Demo S.r.l.,2463949,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0113,2025-02-08,fattura_acquisto,uscita,fa-003,FA-DEMO-003,Segheria Valverde Demo S.r.l.,2220156,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0006,2025-02-11,ordine_acquisto,uscita,oa-006,OA-2025-006,Trasporti Bosco Demo S.r.l.,2048990,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0114,2025-02-14,fattura_acquisto,uscita,fa-004,FA-DEMO-004,Legni Storici Demo S.r.l.,1926990,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0007,2025-02-17,ordine_acquisto,uscita,oa-007,OA-2025-007,Ferramenta Restauro Demo S.r.l.,720483,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0115,2025-02-20,fattura_acquisto,uscita,fa-005,FA-DEMO-005,Materiali di Corte Demo S.r.l.,2463949,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0008,2025-02-23,ordine_acquisto,uscita,oa-008,OA-2025-008,Recuperi Dolomia Demo S.r.l.,1157072,ricevuto,ordini_acquisto.csv,Ricezione con controllo umidità rafforzato.
trx-0116,2025-02-26,fattura_acquisto,uscita,fa-006,FA-DEMO-006,Trasporti Bosco Demo S.r.l.,2048990,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0175,2025-02-26,scadenza_pagamento,uscita,fa-001,FA-DEMO-001,Recuperi Alpini Demo S.r.l.,759450,pagata,scadenze.csv,Scadenza fornitore demo.
trx-0009,2025-03-01,ordine_acquisto,uscita,oa-009,OA-2025-009,Antiche Travi Demo S.r.l.,2084736,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0019,2025-03-03,preventivo,entrata,pre-001,PRE-2025-001,Atelier Arco S.r.l.,193248,accettato,preventivi.csv,Subordinato ad approvazione campione.
trx-0117,2025-03-04,fattura_acquisto,uscita,fa-007,FA-DEMO-007,Ferramenta Restauro Demo S.r.l.,720483,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0176,2025-03-04,scadenza_pagamento,uscita,fa-002,FA-DEMO-002,Demolizioni Laguna Demo S.r.l.,1161362,pagata,scadenze.csv,Scadenza fornitore demo.
trx-0010,2025-03-07,ordine_acquisto,uscita,oa-010,OA-2025-010,Segheria Circolare Demo S.r.l.,1801379,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0020,2025-03-07,preventivo,entrata,pre-002,PRE-2025-002,Cantieri Brenta S.p.A.,304844,accettato,preventivi.csv,Preventivo demo.
trx-0049,2025-03-08,ordine_vendita,entrata,ord-001,ORD-2025-001,Atelier Arco S.r.l.,193248,evaso,ordini.csv,Ordine demo.
trx-0118,2025-03-10,fattura_acquisto,uscita,fa-008,FA-DEMO-008,Recuperi Dolomia Demo S.r.l.,1157072,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0177,2025-03-10,scadenza_pagamento,uscita,fa-003,FA-DEMO-003,Segheria Valverde Demo S.r.l.,2220156,pagata,scadenze.csv,Scadenza fornitore demo.
trx-0021,2025-03-11,preventivo,entrata,pre-003,PRE-2025-003,Dimora Lab S.r.l.,590626,accettato,preventivi.csv,Preventivo demo.
trx-0050,2025-03-12,ordine_vendita,entrata,ord-002,ORD-2025-002,Cantieri Brenta S.p.A.,304844,evaso,ordini.csv,Ordine demo.
trx-0011,2025-03-13,ordine_acquisto,uscita,oa-011,OA-2025-011,Recuperi Alpini Demo S.r.l.,1131184,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0022,2025-03-15,preventivo,entrata,pre-004,PRE-2025-004,Forma Interni S.r.l.,537068,accettato,preventivi.csv,Preventivo demo.
trx-0051,2025-03-16,ordine_vendita,entrata,ord-003,ORD-2025-003,Dimora Lab S.r.l.,590626,evaso,ordini.csv,Ordine demo.
trx-0119,2025-03-16,fattura_acquisto,uscita,fa-009,FA-DEMO-009,Antiche Travi Demo S.r.l.,2084736,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0178,2025-03-16,scadenza_pagamento,uscita,fa-004,FA-DEMO-004,Legni Storici Demo S.r.l.,1926990,pagata,scadenze.csv,Scadenza fornitore demo.
trx-0127,2025-03-18,incasso,entrata,pag-001,DEMO-ACC-1,Atelier Arco S.r.l.,57974,acconto,pagamenti.csv,Incasso sintetico.
trx-0012,2025-03-19,ordine_acquisto,uscita,oa-012,OA-2025-012,Demolizioni Laguna Demo S.r.l.,1916986,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0023,2025-03-19,preventivo,entrata,pre-005,PRE-2025-005,Officina Abitare S.r.l.,689466,accettato,preventivi.csv,Preventivo demo.
trx-0052,2025-03-20,ordine_vendita,entrata,ord-004,ORD-2025-004,Forma Interni S.r.l.,537068,evaso,ordini.csv,Ordine demo.
trx-0120,2025-03-22,fattura_acquisto,uscita,fa-010,FA-DEMO-010,Segheria Circolare Demo S.r.l.,1801379,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0129,2025-03-22,incasso,entrata,pag-003,DEMO-ACC-2,Cantieri Brenta S.p.A.,91453,acconto,pagamenti.csv,Incasso sintetico.
trx-0179,2025-03-22,scadenza_pagamento,uscita,fa-005,FA-DEMO-005,Materiali di Corte Demo S.r.l.,2463949,pagata,scadenze.csv,Scadenza fornitore demo.
trx-0024,2025-03-23,preventivo,entrata,pre-006,PRE-2025-006,Studio Cedro Associati,472140,accettato,preventivi.csv,Preventivo demo.
trx-0053,2025-03-24,ordine_vendita,entrata,ord-005,ORD-2025-005,Officina Abitare S.r.l.,689466,evaso,ordini.csv,Ordine demo.
trx-0013,2025-03-25,ordine_acquisto,uscita,oa-013,OA-2025-013,Segheria Valverde Demo S.r.l.,658849,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0131,2025-03-26,incasso,entrata,pag-005,DEMO-ACC-3,Dimora Lab S.r.l.,177188,acconto,pagamenti.csv,Incasso sintetico.
trx-0025,2025-03-27,preventivo,entrata,pre-007,PRE-2025-007,Edilnova Restauri S.r.l.,195971,accettato,preventivi.csv,Subordinato ad approvazione campione.
trx-0054,2025-03-28,ordine_vendita,entrata,ord-006,ORD-2025-006,Studio Cedro Associati,472140,evaso,ordini.csv,Ordine demo.
trx-0121,2025-03-28,fattura_acquisto,uscita,fa-011,FA-DEMO-011,Recuperi Alpini Demo S.r.l.,1131184,registrata,fatture_acquisto.csv,Fattura acquisto sintetica.
trx-0180,2025-03-28,scadenza_pagamento,uscita,fa-006,FA-DEMO-006,Trasporti Bosco Demo S.r.l.,2048990,pagata,scadenze.csv,Scadenza fornitore demo.
trx-0133,2025-03-30,incasso,entrata,pag-007,DEMO-ACC-4,Forma Interni S.r.l.,161120,acconto,pagamenti.csv,Incasso sintetico.
trx-0014,2025-03-31,ordine_acquisto,uscita,oa-014,OA-2025-014,Legni Storici Demo S.r.l.,1038157,ricevuto,ordini_acquisto.csv,Ordine demo.
trx-0026,2025-03-31,preventivo,entrata,pre-008,PRE-2025-008,Materia Casa S.r.l.,311539,accettato,preventivi.csv,Preventivo demo.
trx-0055,2025-04-01,ordine_vendita,entrata,ord-007,ORD-2025-007,Edilnova Restauri S.r.l.,195971,evaso,ordini.csv,Ordine demo.
