id,created_at,updated_at,numero,data,cliente_id,cliente_ragione_sociale,cliente_canale,preventivo_id,preventivo_numero,agente,sconto_generale_percentuale,imponibile_cents,iva_cents,totale_cents,acconto_previsto_cents,data_scadenza_saldo,incassato_cents,residuo_cents,data_consegna_prevista,indirizzo_consegna,condizioni_pagamento,note,stato
ord-001,1741424400000,1748768400000,ORD-2025-001,2025-03-08,cli-001,Atelier Arco S.r.l.,architetto,pre-001,PRE-2025-001,Elena,0,158400,34848,193248,57974,2025-04-17,193248,0,2025-04-04,Cantiere Demo 1,"30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-002,1741770000000,1748854800000,ORD-2025-002,2025-03-12,cli-002,Cantieri Brenta S.p.A.,impresa,pre-002,PRE-2025-002,Luca,0,249872,54972,304844,91453,2025-04-21,304844,0,2025-04-08,"Via Demo 2, Padova","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-003,1742115600000,1748941200000,ORD-2025-003,2025-03-16,cli-003,Dimora Lab S.r.l.,showroom,pre-003,PRE-2025-003,Marta,0,484120,106506,590626,177188,2025-04-25,590626,0,2025-04-12,"Via Demo 3, Firenze","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-004,1742461200000,1749027600000,ORD-2025-004,2025-03-20,cli-004,Forma Interni S.r.l.,rivenditore,pre-004,PRE-2025-004,Elena,0,440220,96848,537068,161120,2025-04-29,537068,0,2025-04-16,Cantiere Demo 4,"30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-005,1742806800000,1749114000000,ORD-2025-005,2025-03-24,cli-005,Officina Abitare S.r.l.,diretto,pre-005,PRE-2025-005,Luca,0,565136,124330,689466,206840,2025-05-03,689466,0,2025-04-20,"Via Demo 5, Bologna","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-006,1743152400000,1749200400000,ORD-2025-006,2025-03-28,cli-006,Studio Cedro Associati,architetto,pre-006,PRE-2025-006,Marta,0,387000,85140,472140,141642,2025-05-07,472140,0,2025-04-24,"Via Demo 6, Roma","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-007,1743498000000,1749286800000,ORD-2025-007,2025-04-01,cli-007,Edilnova Restauri S.r.l.,impresa,pre-007,PRE-2025-007,Elena,0,160632,35339,195971,58791,2025-05-11,195971,0,2025-04-28,Cantiere Demo 7,"30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-008,1743843600000,1749373200000,ORD-2025-008,2025-04-05,cli-008,Materia Casa S.r.l.,showroom,pre-008,PRE-2025-008,Luca,0,255360,56179,311539,93462,2025-05-15,311539,0,2025-05-02,"Via Demo 8, Genova","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-009,1744189200000,1749459600000,ORD-2025-009,2025-04-09,cli-009,Nordic Habitat S.r.l.,rivenditore,pre-009,PRE-2025-009,Marta,0,479688,105531,585219,175566,2025-05-19,585219,0,2025-05-06,"Via Demo 9, Como","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-010,1744534800000,1749546000000,ORD-2025-010,2025-04-13,cli-010,Casa Radice S.r.l.,online,pre-010,PRE-2025-010,Elena,0,441408,97110,538518,161555,2025-05-23,538518,0,2025-05-10,Cantiere Demo 10,"30% conferma, saldo prima della consegna",Cliente richiede lotti omogenei per patina.,evaso
ord-011,1744880400000,1749632400000,ORD-2025-011,2025-04-17,cli-011,Progetto Quercia S.r.l.,architetto,pre-011,PRE-2025-011,Luca,0,226800,49896,276696,83009,2025-05-27,276696,0,2025-05-14,"Via Demo 11, Bergamo","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-012,1745226000000,1749718800000,ORD-2025-012,2025-04-21,cli-012,Corte Antica Hospitality S.r.l.,diretto,pre-012,PRE-2025-012,Marta,0,399349,87857,487206,146162,2025-05-31,487206,0,2025-05-18,"Via Demo 12, Siena","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-013,1745571600000,1749805200000,ORD-2025-013,2025-04-25,cli-013,Linea Restauro S.r.l.,impresa,pre-013,PRE-2025-013,Elena,0,167580,36868,204448,61334,2025-06-04,81779,122669,2025-05-22,Cantiere Demo 13,"30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-014,1745917200000,1749891600000,ORD-2025-014,2025-04-29,cli-014,Spazio Materico S.r.l.,showroom,pre-014,PRE-2025-014,Luca,0,248952,54769,303721,91116,2025-06-08,121488,182233,2025-05-26,"Via Demo 14, Parma","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-015,1746262800000,1749978000000,ORD-2025-015,2025-05-03,cli-015,Rovere Contract S.r.l.,rivenditore,pre-015,PRE-2025-015,Marta,0,484880,106674,591554,177466,2025-06-12,236622,354932,2025-05-30,"Via Demo 15, Monza","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-016,1746608400000,1750064400000,ORD-2025-016,2025-05-07,cli-016,Architettura Viva S.r.l.,architetto,pre-016,PRE-2025-016,Elena,0,302400,66528,368928,110678,2025-06-16,0,368928,2025-06-03,Cantiere Demo 16,"30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-017,1746954000000,1750150800000,ORD-2025-017,2025-05-11,cli-017,Borgo Nuovo Resort S.r.l.,diretto,pre-017,PRE-2025-017,Luca,0,196328,43192,239520,71856,2025-06-20,0,239520,2025-06-07,"Via Demo 17, Perugia","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-018,1747299600000,1750237200000,ORD-2025-018,2025-05-15,cli-018,Cantiere Blu S.r.l.,impresa,pre-018,PRE-2025-018,Marta,0,297920,65542,363462,109039,2025-06-24,0,363462,2025-06-11,"Via Demo 18, Ravenna","30% conferma, saldo prima della consegna",Ordine demo.,evaso
ord-019,1747645200000,1750323600000,ORD-2025-019,2025-05-19,cli-019,Interni Levante S.r.l.,showroom,pre-019,PRE-2025-019,Elena,0,552552,121561,674113,202234,2025-06-28,0,674113,2025-06-15,Cantiere Demo 19,"30% conferma, saldo prima della consegna",Ordine demo.,confermato
ord-020,1747990800000,1750410000000,ORD-2025-020,2025-05-23,cli-020,Alpine Lodges Italia S.r.l.,diretto,pre-020,PRE-2025-020,Luca,0,484880,106674,591554,177466,2025-07-02,0,591554,2025-06-19,"Via Demo 20, Trento","30% conferma, saldo prima della consegna",Ordine demo.,confermato
