articolo_id,lotto_id,categoria,essenza,patina,data_carico,giacenza_milli,unita_misura,costo_medio_cents,ubicazione,stato_lotto
art-001,lot-001,tavola,abete,prima_patina,2025-01-20,109000,mq,4200,A01-01,disponibile
art-002,lot-002,tavola,larice,seconda_patina,2025-01-26,121000,mq,5500,A02-02,disponibile
art-003,lot-003,tavola,rovere,prima_patina,2025-02-01,163500,mq,9200,A03-03,disponibile
art-004,lot-004,tavola,castagno,naturale,2025-02-07,183000,mq,7500,A04-04,disponibile
art-005,lot-005,tavola,olmo,prima_patina,2025-02-13,200000,mq,8600,A05-01,disponibile
art-006,lot-006,tavola,noce,naturale,2025-02-19,133000,mq,11000,A06-02,disponibile
art-007,lot-007,perlinato,abete,grigio,2025-02-25,149000,mq,3400,A01-03,disponibile
art-008,lot-008,perlinato,larice,bruciato_sole,2025-03-03,166000,mq,4800,A02-04,quarantena
art-009,lot-009,pannello,rovere,seconda_patina,2025-03-09,183000,mq,7800,A03-01,disponibile
art-010,lot-010,pannello,castagno,spazzolato,2025-03-15,200000,mq,6400,A04-02,disponibile
art-011,lot-011,lamella,olmo,naturale,2025-03-21,132000,mq,6100,A05-03,disponibile
art-012,lot-012,lamella,noce,prima_patina,2025-03-27,149000,mq,8900,A06-04,disponibile
art-013,lot-013,travatura,abete,seconda_patina,2025-04-02,166000,ml,2800,A01-01,disponibile
art-014,lot-014,travatura,larice,prima_patina,2025-04-08,183000,ml,3900,A02-02,disponibile
art-015,lot-015,travatura,rovere,naturale,2025-04-14,200000,ml,7200,A03-03,disponibile
art-016,lot-016,pavimento,castagno,prima_patina,2025-04-20,132000,mq,8300,A04-04,disponibile
