id,ddt_id,ordine_id,ordine_riga_id,posizione,tipo,articolo_id,codice_articolo,descrizione,lotto_id,lotto_codice,quantita_milli,unita_misura,prezzo_unitario_cents,sconto_percentuale,aliquota_iva,imponibile_cents,essenza_snapshot,patina_snapshot,spessore_mm_snapshot,note
rddt-001,ddt-001,ord-001,rord-001,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,lot-001,L25-001,18000,mq,8800,0,22,158400,abete,prima_patina,28,
rddt-002,ddt-002,ord-002,rord-002,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,lot-002,L25-002,23000,mq,11200,3,22,249872,larice,seconda_patina,32,
rddt-003,ddt-003,ord-003,rord-003,1,merce,art-003,TV-ROV-01,Tavola rovere prima patina,lot-003,L25-003,28000,mq,18200,5,22,484120,rovere,prima_patina,35,
rddt-004,ddt-004,ord-004,rord-004,1,merce,art-004,TV-CAS-01,Tavola castagno naturale,lot-004,L25-004,33000,mq,14500,8,22,440220,castagno,naturale,30,
rddt-005,ddt-005,ord-005,rord-005,1,merce,art-005,TV-OLM-01,Tavola olmo prima patina,lot-005,L25-005,38000,mq,16900,12,22,565136,olmo,prima_patina,38,
rddt-006,ddt-006,ord-006,rord-006,1,merce,art-006,TV-NOC-01,Tavola noce naturale,lot-006,L25-006,18000,mq,21500,0,22,387000,noce,naturale,32,
rddt-007,ddt-007,ord-007,rord-007,1,merce,art-007,PR-ABE-01,Perlinato abete grigio,lot-007,L25-007,23000,mq,7200,3,22,160632,abete,grigio,20,
rddt-008,ddt-008,ord-008,rord-008,1,merce,art-008,PR-LAR-01,Perlinato larice bruciato sole,lot-008,L25-008,28000,mq,9600,5,22,255360,larice,bruciato_sole,22,
rddt-009,ddt-009,ord-009,rord-009,1,merce,art-009,PN-ROV-01,Pannello rovere recuperato,lot-009,L25-009,33000,mq,15800,8,22,479688,rovere,seconda_patina,24,
rddt-010,ddt-010,ord-010,rord-010,1,merce,art-010,PN-CAS-01,Pannello castagno spazzolato,lot-010,L25-010,38000,mq,13200,12,22,441408,castagno,spazzolato,24,
rddt-011,ddt-011,ord-011,rord-011,1,merce,art-011,LM-OLM-01,Lamella olmo naturale,lot-011,L25-011,18000,mq,12600,0,22,226800,olmo,naturale,18,
rddt-012,ddt-012,ord-012,rord-012,1,merce,art-012,LM-NOC-01,Lamella noce prima patina,lot-012,L25-012,23000,mq,17900,3,22,399349,noce,prima_patina,18,
rddt-013,ddt-013,ord-013,rord-013,1,merce,art-013,TR-ABE-01,Travatura abete recuperata,lot-013,L25-013,28000,ml,6300,5,22,167580,abete,seconda_patina,180,
rddt-014,ddt-014,ord-014,rord-014,1,merce,art-014,TR-LAR-01,Travatura larice recuperata,lot-014,L25-014,33000,ml,8200,8,22,248952,larice,prima_patina,200,
rddt-015,ddt-015,ord-015,rord-015,1,merce,art-015,TR-ROV-01,Travatura rovere recuperata,lot-015,L25-015,38000,ml,14500,12,22,484880,rovere,naturale,200,
rddt-016,ddt-016,ord-016,rord-016,1,merce,art-016,PV-CAS-01,Pavimento castagno antico,lot-016,L25-016,18000,mq,16800,0,22,302400,castagno,prima_patina,20,
rddt-017,ddt-017,ord-017,rord-017,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,lot-001,L25-001,14950,mq,8800,3,22,127613,abete,prima_patina,28,
rddt-018,ddt-018,ord-018,rord-018,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,lot-002,L25-002,18200,mq,11200,5,22,193648,larice,seconda_patina,32,
rddt-019,ddt-019,ord-017,rord-017,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,lot-001,L25-001,8050,mq,8800,3,22,68715,abete,prima_patina,28,
rddt-020,ddt-020,ord-018,rord-018,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,lot-002,L25-002,9800,mq,11200,5,22,104272,larice,seconda_patina,32,
