id,ordine_id,posizione,tipo,articolo_id,codice_articolo,descrizione,lotto_id,lotto_codice,quantita_milli,quantita_evasa_milli,unita_misura,prezzo_unitario_cents,sconto_percentuale,aliquota_iva,imponibile_cents,essenza_snapshot,patina_snapshot,spessore_mm_snapshot,note
rord-001,ord-001,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,lot-001,L25-001,18000,18000,mq,8800,0,22,158400,abete,prima_patina,28,
rord-002,ord-002,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,lot-002,L25-002,23000,23000,mq,11200,3,22,249872,larice,seconda_patina,32,
rord-003,ord-003,1,merce,art-003,TV-ROV-01,Tavola rovere prima patina,lot-003,L25-003,28000,28000,mq,18200,5,22,484120,rovere,prima_patina,35,
rord-004,ord-004,1,merce,art-004,TV-CAS-01,Tavola castagno naturale,lot-004,L25-004,33000,33000,mq,14500,8,22,440220,castagno,naturale,30,
rord-005,ord-005,1,merce,art-005,TV-OLM-01,Tavola olmo prima patina,lot-005,L25-005,38000,38000,mq,16900,12,22,565136,olmo,prima_patina,38,
rord-006,ord-006,1,merce,art-006,TV-NOC-01,Tavola noce naturale,lot-006,L25-006,18000,18000,mq,21500,0,22,387000,noce,naturale,32,
rord-007,ord-007,1,merce,art-007,PR-ABE-01,Perlinato abete grigio,lot-007,L25-007,23000,23000,mq,7200,3,22,160632,abete,grigio,20,
rord-008,ord-008,1,merce,art-008,PR-LAR-01,Perlinato larice bruciato sole,lot-008,L25-008,28000,28000,mq,9600,5,22,255360,larice,bruciato_sole,22,
rord-009,ord-009,1,merce,art-009,PN-ROV-01,Pannello rovere recuperato,lot-009,L25-009,33000,33000,mq,15800,8,22,479688,rovere,seconda_patina,24,
rord-010,ord-010,1,merce,art-010,PN-CAS-01,Pannello castagno spazzolato,lot-010,L25-010,38000,38000,mq,13200,12,22,441408,castagno,spazzolato,24,
rord-011,ord-011,1,merce,art-011,LM-OLM-01,Lamella olmo naturale,lot-011,L25-011,18000,18000,mq,12600,0,22,226800,olmo,naturale,18,
rord-012,ord-012,1,merce,art-012,LM-NOC-01,Lamella noce prima patina,lot-012,L25-012,23000,23000,mq,17900,3,22,399349,noce,prima_patina,18,
rord-013,ord-013,1,merce,art-013,TR-ABE-01,Travatura abete recuperata,lot-013,L25-013,28000,28000,ml,6300,5,22,167580,abete,seconda_patina,180,
rord-014,ord-014,1,merce,art-014,TR-LAR-01,Travatura larice recuperata,lot-014,L25-014,33000,33000,ml,8200,8,22,248952,larice,prima_patina,200,
rord-015,ord-015,1,merce,art-015,TR-ROV-01,Travatura rovere recuperata,lot-015,L25-015,38000,38000,ml,14500,12,22,484880,rovere,naturale,200,
rord-016,ord-016,1,merce,art-016,PV-CAS-01,Pavimento castagno antico,lot-016,L25-016,18000,18000,mq,16800,0,22,302400,castagno,prima_patina,20,
rord-017,ord-017,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,lot-001,L25-001,23000,23000,mq,8800,3,22,196328,abete,prima_patina,28,
rord-018,ord-018,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,lot-002,L25-002,28000,28000,mq,11200,5,22,297920,larice,seconda_patina,32,
rord-019,ord-019,1,merce,art-003,TV-ROV-01,Tavola rovere prima patina,lot-003,L25-003,33000,0,mq,18200,8,22,552552,rovere,prima_patina,35,
rord-020,ord-020,1,merce,art-004,TV-CAS-01,Tavola castagno naturale,lot-004,L25-004,38000,0,mq,14500,12,22,484880,castagno,naturale,30,
rord-021,ord-021,1,merce,art-005,TV-OLM-01,Tavola olmo prima patina,lot-005,L25-005,18000,0,mq,16900,0,22,304200,olmo,prima_patina,38,
rord-022,ord-022,1,merce,art-006,TV-NOC-01,Tavola noce naturale,lot-006,L25-006,23000,0,mq,21500,3,22,479665,noce,naturale,32,
rord-023,ord-023,1,merce,art-007,PR-ABE-01,Perlinato abete grigio,lot-007,L25-007,28000,0,mq,7200,5,22,191520,abete,grigio,20,
rord-024,ord-024,1,merce,art-008,PR-LAR-01,Perlinato larice bruciato sole,lot-008,L25-008,33000,0,mq,9600,8,22,291456,larice,bruciato_sole,22,
