id,created_at,updated_at,numero,data,cliente_id,cliente_ragione_sociale,ordine_id,ordine_numero,ddt_ids,imponibile_cents,iva_cents,totale_cents,data_scadenza,stato,note
fv-001,1744880400000,1744966800000,FV-2025-001,2025-04-17,cli-001,Atelier Arco S.r.l.,ord-001,ORD-2025-001,ddt-001,158400,34848,193248,2025-05-17,emessa,Fattura demo.
fv-002,1745226000000,1745312400000,FV-2025-002,2025-04-21,cli-002,Cantieri Brenta S.p.A.,ord-002,ORD-2025-002,ddt-002,249872,54972,304844,2025-05-21,emessa,Fattura demo.
fv-003,1745571600000,1745658000000,FV-2025-003,2025-04-25,cli-003,Dimora Lab S.r.l.,ord-003,ORD-2025-003,ddt-003,484120,106506,590626,2025-05-25,emessa,Fattura demo.
fv-004,1745917200000,1746003600000,FV-2025-004,2025-04-29,cli-004,Forma Interni S.r.l.,ord-004,ORD-2025-004,ddt-004,440220,96848,537068,2025-05-29,emessa,Fattura demo.
fv-005,1746262800000,1746349200000,FV-2025-005,2025-05-03,cli-005,Officina Abitare S.r.l.,ord-005,ORD-2025-005,ddt-005,565136,124330,689466,2025-06-02,emessa,Fattura demo.
fv-006,1746608400000,1746694800000,FV-2025-006,2025-05-07,cli-006,Studio Cedro Associati,ord-006,ORD-2025-006,ddt-006,387000,85140,472140,2025-06-06,emessa,Fattura demo.
fv-007,1746954000000,1747040400000,FV-2025-007,2025-05-11,cli-007,Edilnova Restauri S.r.l.,ord-007,ORD-2025-007,ddt-007,160632,35339,195971,2025-06-10,emessa,Fattura demo.
fv-008,1747299600000,1747386000000,FV-2025-008,2025-05-15,cli-008,Materia Casa S.r.l.,ord-008,ORD-2025-008,ddt-008,255360,56179,311539,2025-06-14,emessa,Fattura demo.
fv-009,1747645200000,1747731600000,FV-2025-009,2025-05-19,cli-009,Nordic Habitat S.r.l.,ord-009,ORD-2025-009,ddt-009,479688,105531,585219,2025-06-18,emessa,Fattura demo.
fv-010,1747990800000,1748077200000,FV-2025-010,2025-05-23,cli-010,Casa Radice S.r.l.,ord-010,ORD-2025-010,ddt-010,441408,97110,538518,2025-06-22,emessa,Fattura demo.
fv-011,1748336400000,1748422800000,FV-2025-011,2025-05-27,cli-011,Progetto Quercia S.r.l.,ord-011,ORD-2025-011,ddt-011,226800,49896,276696,2025-06-26,emessa,Fattura demo.
fv-012,1748682000000,1748768400000,FV-2025-012,2025-05-31,cli-012,Corte Antica Hospitality S.r.l.,ord-012,ORD-2025-012,ddt-012,399349,87857,487206,2025-06-30,emessa,Fattura demo.
fv-013,1749027600000,1749114000000,FV-2025-013,2025-06-04,cli-013,Linea Restauro S.r.l.,ord-013,ORD-2025-013,ddt-013,167580,36868,204448,2025-07-04,emessa,Fattura demo.
fv-014,1749373200000,1749459600000,FV-2025-014,2025-06-08,cli-014,Spazio Materico S.r.l.,ord-014,ORD-2025-014,ddt-014,248952,54769,303721,2025-07-08,emessa,Fattura demo.
fv-015,1749718800000,1749805200000,FV-2025-015,2025-06-12,cli-015,Rovere Contract S.r.l.,ord-015,ORD-2025-015,ddt-015,484880,106674,591554,2025-07-12,emessa,Pagamento parziale concordato.
fv-016,1750064400000,1750150800000,FV-2025-016,2025-06-16,cli-016,Architettura Viva S.r.l.,ord-016,ORD-2025-016,ddt-016,302400,66528,368928,2025-07-16,emessa,Fattura demo.
fv-017,1750410000000,1750496400000,FV-2025-017,2025-06-20,cli-017,Borgo Nuovo Resort S.r.l.,ord-017,ORD-2025-017,"ddt-017;ddt-019",196328,43192,239520,2025-07-20,emessa,Fattura demo.
fv-018,1750755600000,1750842000000,FV-2025-018,2025-06-24,cli-018,Cantiere Blu S.r.l.,ord-018,ORD-2025-018,"ddt-018;ddt-020",297920,65542,363462,2025-07-24,emessa,Fattura demo.
