id,preventivo_id,posizione,tipo,articolo_id,codice_articolo,descrizione,lotto_id,lotto_codice,quantita_milli,unita_misura,prezzo_unitario_cents,sconto_percentuale,aliquota_iva,imponibile_cents,essenza_snapshot,patina_snapshot,spessore_mm_snapshot,note
rpre-001,pre-001,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,,,18000,mq,8800,0,22,158400,abete,prima_patina,28,Campione da approvare.
rpre-note-001,pre-001,2,descrizione,,,"Posa e lavorazioni escluse; trasporto da confermare.",,,0,corpo,0,0,22,0,,,,
rpre-002,pre-002,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,,,23000,mq,11200,3,22,249872,larice,seconda_patina,32,
rpre-003,pre-003,1,merce,art-003,TV-ROV-01,Tavola rovere prima patina,,,28000,mq,18200,5,22,484120,rovere,prima_patina,35,
rpre-004,pre-004,1,merce,art-004,TV-CAS-01,Tavola castagno naturale,,,33000,mq,14500,8,22,440220,castagno,naturale,30,
rpre-005,pre-005,1,merce,art-005,TV-OLM-01,Tavola olmo prima patina,,,38000,mq,16900,12,22,565136,olmo,prima_patina,38,
rpre-note-005,pre-005,2,descrizione,,,"Posa e lavorazioni escluse; trasporto da confermare.",,,0,corpo,0,0,22,0,,,,
rpre-006,pre-006,1,merce,art-006,TV-NOC-01,Tavola noce naturale,,,18000,mq,21500,0,22,387000,noce,naturale,32,
rpre-007,pre-007,1,merce,art-007,PR-ABE-01,Perlinato abete grigio,,,23000,mq,7200,3,22,160632,abete,grigio,20,Campione da approvare.
rpre-008,pre-008,1,merce,art-008,PR-LAR-01,Perlinato larice bruciato sole,,,28000,mq,9600,5,22,255360,larice,bruciato_sole,22,
rpre-009,pre-009,1,merce,art-009,PN-ROV-01,Pannello rovere recuperato,,,33000,mq,15800,8,22,479688,rovere,seconda_patina,24,
rpre-note-009,pre-009,2,descrizione,,,"Posa e lavorazioni escluse; trasporto da confermare.",,,0,corpo,0,0,22,0,,,,
rpre-010,pre-010,1,merce,art-010,PN-CAS-01,Pannello castagno spazzolato,,,38000,mq,13200,12,22,441408,castagno,spazzolato,24,
rpre-011,pre-011,1,merce,art-011,LM-OLM-01,Lamella olmo naturale,,,18000,mq,12600,0,22,226800,olmo,naturale,18,
rpre-012,pre-012,1,merce,art-012,LM-NOC-01,Lamella noce prima patina,,,23000,mq,17900,3,22,399349,noce,prima_patina,18,
rpre-013,pre-013,1,merce,art-013,TR-ABE-01,Travatura abete recuperata,,,28000,ml,6300,5,22,167580,abete,seconda_patina,180,Campione da approvare.
rpre-note-013,pre-013,2,descrizione,,,"Posa e lavorazioni escluse; trasporto da confermare.",,,0,corpo,0,0,22,0,,,,
rpre-014,pre-014,1,merce,art-014,TR-LAR-01,Travatura larice recuperata,,,33000,ml,8200,8,22,248952,larice,prima_patina,200,
rpre-015,pre-015,1,merce,art-015,TR-ROV-01,Travatura rovere recuperata,,,38000,ml,14500,12,22,484880,rovere,naturale,200,
rpre-016,pre-016,1,merce,art-016,PV-CAS-01,Pavimento castagno antico,,,18000,mq,16800,0,22,302400,castagno,prima_patina,20,
rpre-017,pre-017,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,,,23000,mq,8800,3,22,196328,abete,prima_patina,28,
rpre-note-017,pre-017,2,descrizione,,,"Posa e lavorazioni escluse; trasporto da confermare.",,,0,corpo,0,0,22,0,,,,
rpre-018,pre-018,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,,,28000,mq,11200,5,22,297920,larice,seconda_patina,32,
rpre-019,pre-019,1,merce,art-003,TV-ROV-01,Tavola rovere prima patina,,,33000,mq,18200,8,22,552552,rovere,prima_patina,35,Campione da approvare.
rpre-020,pre-020,1,merce,art-004,TV-CAS-01,Tavola castagno naturale,,,38000,mq,14500,12,22,484880,castagno,naturale,30,
rpre-021,pre-021,1,merce,art-005,TV-OLM-01,Tavola olmo prima patina,,,18000,mq,16900,0,22,304200,olmo,prima_patina,38,
rpre-note-021,pre-021,2,descrizione,,,"Posa e lavorazioni escluse; trasporto da confermare.",,,0,corpo,0,0,22,0,,,,
rpre-022,pre-022,1,merce,art-006,TV-NOC-01,Tavola noce naturale,,,23000,mq,21500,3,22,479665,noce,naturale,32,
rpre-023,pre-023,1,merce,art-007,PR-ABE-01,Perlinato abete grigio,,,28000,mq,7200,5,22,191520,abete,grigio,20,
rpre-024,pre-024,1,merce,art-008,PR-LAR-01,Perlinato larice bruciato sole,,,33000,mq,9600,8,22,291456,larice,bruciato_sole,22,
rpre-025,pre-025,1,merce,art-009,PN-ROV-01,Pannello rovere recuperato,,,38000,mq,15800,12,22,528352,rovere,seconda_patina,24,Campione da approvare.
rpre-note-025,pre-025,2,descrizione,,,"Posa e lavorazioni escluse; trasporto da confermare.",,,0,corpo,0,0,22,0,,,,
