id,ordine_acquisto_id,posizione,tipo,articolo_id,codice_articolo,descrizione,quantita_milli,unita_misura,prezzo_unitario_cents,sconto_percentuale,aliquota_iva,imponibile_cents,lotto_id,lotto_codice,essenza_snapshot,patina_snapshot,spessore_mm_snapshot,note
roa-001,oa-001,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,150000,mq,3990,0,22,598500,lot-001,L25-001,abete,prima_patina,28,
roa-002,oa-002,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,172000,mq,5363,0,22,922436,lot-002,L25-002,larice,seconda_patina,32,
roa-003,oa-003,1,merce,art-003,TV-ROV-01,Tavola rovere prima patina,194000,mq,9200,0,22,1784800,lot-003,L25-003,rovere,prima_patina,35,
roa-004,oa-004,1,merce,art-004,TV-CAS-01,Tavola castagno naturale,216000,mq,7125,0,22,1539000,lot-004,L25-004,castagno,naturale,30,
roa-005,oa-005,1,merce,art-005,TV-OLM-01,Tavola olmo prima patina,238000,mq,8385,0,22,1995630,lot-005,L25-005,olmo,prima_patina,38,
roa-006,oa-006,1,merce,art-006,TV-NOC-01,Tavola noce naturale,150000,mq,11000,0,22,1650000,lot-006,L25-006,noce,naturale,32,
roa-007,oa-007,1,merce,art-007,PR-ABE-01,Perlinato abete grigio,172000,mq,3230,0,22,555560,lot-007,L25-007,abete,grigio,20,
roa-008,oa-008,1,merce,art-008,PR-LAR-01,Perlinato larice bruciato sole,194000,mq,4680,0,22,907920,lot-008,L25-008,larice,bruciato_sole,22,
roa-009,oa-009,1,merce,art-009,PN-ROV-01,Pannello rovere recuperato,216000,mq,7800,0,22,1684800,lot-009,L25-009,rovere,seconda_patina,24,
roa-010,oa-010,1,merce,art-010,PN-CAS-01,Pannello castagno spazzolato,238000,mq,6080,0,22,1447040,lot-010,L25-010,castagno,spazzolato,24,
roa-011,oa-011,1,merce,art-011,LM-OLM-01,Lamella olmo naturale,150000,mq,5948,0,22,892200,lot-011,L25-011,olmo,naturale,18,
roa-012,oa-012,1,merce,art-012,LM-NOC-01,Lamella noce prima patina,172000,mq,8900,0,22,1530800,lot-012,L25-012,noce,prima_patina,18,
roa-013,oa-013,1,merce,art-013,TR-ABE-01,Travatura abete recuperata,194000,ml,2660,0,22,516040,lot-013,L25-013,abete,seconda_patina,180,
roa-014,oa-014,1,merce,art-014,TR-LAR-01,Travatura larice recuperata,216000,ml,3803,0,22,821448,lot-014,L25-014,larice,prima_patina,200,
roa-015,oa-015,1,merce,art-015,TR-ROV-01,Travatura rovere recuperata,238000,ml,7200,0,22,1713600,lot-015,L25-015,rovere,naturale,200,
roa-016,oa-016,1,merce,art-016,PV-CAS-01,Pavimento castagno antico,150000,mq,7885,0,22,1182750,lot-016,L25-016,castagno,prima_patina,20,
roa-017,oa-017,1,merce,art-017,PV-OLM-01,Pavimento olmo antico,172000,mq,8580,0,22,1475760,,,olmo,seconda_patina,20,
roa-018,oa-018,1,merce,art-018,PV-NOC-01,Pavimento noce recuperato,194000,mq,10500,0,22,2037000,,,noce,naturale,20,
