id,created_at,updated_at,id_esterno,codice,tipo,natura_fiscale,ragione_sociale,referente,piva,codice_fiscale,codice_sdi,pec,email,telefono,indirizzo,cap,citta,provincia,nazione,consegna_indirizzo,consegna_cap,consegna_citta,consegna_provincia,canale,sconto_default_percentuale,aliquota_iva_default,note,attivo
cli-001,1735808400000,1751360400000,DEMO-C001,C001,azienda,societa,Atelier Arco S.r.l.,Giulia Demo 1,IT10000000000,,D000001,amministrazione1@pec.example,acquisti1@example.com,+39000000001,Via Demo 1,20100,Milano,MI,IT,Cantiere Demo 1,,Milano,MI,architetto,0,22,"Consegna su appuntamento; verificare accesso mezzi pesanti.",true
cli-002,1735894800000,1751446800000,DEMO-C002,C002,azienda,societa,Cantieri Brenta S.p.A.,Marco Demo 2,IT10000000001,,D000002,amministrazione2@pec.example,acquisti2@example.com,+39000000002,Via Demo 2,20101,Padova,PD,IT,,,Padova,PD,impresa,3,22,Anagrafica sintetica per test.,true
cli-003,1735981200000,1751533200000,DEMO-C003,C003,azienda,societa,Dimora Lab S.r.l.,Elena Demo 3,IT10000000002,,D000003,amministrazione3@pec.example,acquisti3@example.com,+39000000003,Via Demo 3,20102,Firenze,FI,IT,,,Firenze,FI,showroom,5,22,Anagrafica sintetica per test.,true
cli-004,1736067600000,1751619600000,DEMO-C004,C004,azienda,societa,Forma Interni S.r.l.,Luca Demo 4,IT10000000003,,D000004,amministrazione4@pec.example,acquisti4@example.com,+39000000004,Via Demo 4,20103,Torino,TO,IT,Cantiere Demo 4,,Torino,TO,rivenditore,8,22,Anagrafica sintetica per test.,true
cli-005,1736154000000,1751706000000,DEMO-C005,C005,azienda,societa,Officina Abitare S.r.l.,Sara Demo 5,IT10000000004,,D000005,amministrazione5@pec.example,acquisti5@example.com,+39000000005,Via Demo 5,20104,Bologna,BO,IT,,,Bologna,BO,diretto,0,22,Anagrafica sintetica per test.,true
cli-006,1736240400000,1751792400000,DEMO-C006,C006,azienda,societa,Studio Cedro Associati,Andrea Demo 6,IT10000000005,,D000006,amministrazione6@pec.example,acquisti6@example.com,+39000000006,Via Demo 6,20105,Roma,RM,IT,,,Roma,RM,architetto,3,22,Anagrafica sintetica per test.,true
cli-007,1736326800000,1751878800000,DEMO-C007,C007,azienda,societa,Edilnova Restauri S.r.l.,Giulia Demo 7,IT10000000006,,D000007,amministrazione7@pec.example,acquisti7@example.com,+39000000007,Via Demo 7,20106,Verona,VR,IT,Cantiere Demo 7,,Verona,VR,impresa,5,22,Anagrafica sintetica per test.,true
cli-008,1736413200000,1751965200000,DEMO-C008,C008,azienda,societa,Materia Casa S.r.l.,Marco Demo 8,IT10000000007,,D000008,amministrazione8@pec.example,acquisti8@example.com,+39000000008,Via Demo 8,20107,Genova,GE,IT,,,Genova,GE,showroom,8,22,"Consegna su appuntamento; verificare accesso mezzi pesanti.",true
cli-009,1736499600000,1752051600000,DEMO-C009,C009,azienda,societa,Nordic Habitat S.r.l.,Elena Demo 9,IT10000000008,,D000009,amministrazione9@pec.example,acquisti9@example.com,+39000000009,Via Demo 9,20108,Como,CO,IT,,,Como,CO,rivenditore,0,22,Anagrafica sintetica per test.,true
cli-010,1736586000000,1752138000000,DEMO-C010,C010,azienda,societa,Casa Radice S.r.l.,Luca Demo 10,IT10000000009,,D000010,amministrazione10@pec.example,acquisti10@example.com,+39000000010,Via Demo 10,20109,Treviso,TV,IT,Cantiere Demo 10,,Treviso,TV,online,3,22,Anagrafica sintetica per test.,true
cli-011,1736672400000,1752224400000,DEMO-C011,C011,azienda,societa,Progetto Quercia S.r.l.,Sara Demo 11,IT10000000010,,D000011,amministrazione11@pec.example,acquisti11@example.com,+39000000011,Via Demo 11,20110,Bergamo,BG,IT,,,Bergamo,BG,architetto,5,22,Anagrafica sintetica per test.,true
cli-012,1736758800000,1752310800000,DEMO-C012,C012,azienda,societa,Corte Antica Hospitality S.r.l.,Andrea Demo 12,IT10000000011,,D000012,amministrazione12@pec.example,acquisti12@example.com,+39000000012,Via Demo 12,20111,Siena,SI,IT,,,Siena,SI,diretto,8,22,Anagrafica sintetica per test.,true
cli-013,1736845200000,1752397200000,DEMO-C013,C013,azienda,societa,Linea Restauro S.r.l.,Giulia Demo 13,IT10000000012,,D000013,amministrazione13@pec.example,acquisti13@example.com,+39000000013,Via Demo 13,20112,Vicenza,VI,IT,Cantiere Demo 13,,Vicenza,VI,impresa,0,22,Anagrafica sintetica per test.,true
cli-014,1736931600000,1752483600000,DEMO-C014,C014,azienda,societa,Spazio Materico S.r.l.,Marco Demo 14,IT10000000013,,D000014,amministrazione14@pec.example,acquisti14@example.com,+39000000014,Via Demo 14,20113,Parma,PR,IT,,,Parma,PR,showroom,3,22,Anagrafica sintetica per test.,true
cli-015,1737018000000,1752570000000,DEMO-C015,C015,azienda,societa,Rovere Contract S.r.l.,Elena Demo 15,IT10000000014,,D000015,amministrazione15@pec.example,acquisti15@example.com,+39000000015,Via Demo 15,20114,Monza,MB,IT,,,Monza,MB,rivenditore,5,22,"Consegna su appuntamento; verificare accesso mezzi pesanti.",true
cli-016,1737104400000,1752656400000,DEMO-C016,C016,azienda,societa,Architettura Viva S.r.l.,Luca Demo 16,IT10000000015,,D000016,amministrazione16@pec.example,acquisti16@example.com,+39000000016,Via Demo 16,20115,Venezia,VE,IT,Cantiere Demo 16,,Venezia,VE,architetto,8,22,Anagrafica sintetica per test.,true
cli-017,1737190800000,1752742800000,DEMO-C017,C017,azienda,societa,Borgo Nuovo Resort S.r.l.,Sara Demo 17,IT10000000016,,D000017,amministrazione17@pec.example,acquisti17@example.com,+39000000017,Via Demo 17,20116,Perugia,PG,IT,,,Perugia,PG,diretto,0,22,Anagrafica sintetica per test.,true
cli-018,1737277200000,1752829200000,DEMO-C018,C018,azienda,societa,Cantiere Blu S.r.l.,Andrea Demo 18,IT10000000017,,D000018,amministrazione18@pec.example,acquisti18@example.com,+39000000018,Via Demo 18,20117,Ravenna,RA,IT,,,Ravenna,RA,impresa,3,22,Anagrafica sintetica per test.,true
