id,created_at,updated_at,id_esterno,codice,nome,descrizione,natura,gestione_magazzino,stadio,categoria,essenza,patina,spessore_mm,larghezza_mm,lunghezza_mm,unita_misura,mc_per_unita_milli,prezzo_acquisto_cents,prezzo_listino_cents,aliquota_iva,costo_medio_cents,giacenza_milli,impegnato_milli,scorta_minima_milli,ubicazione,attivo,note
art-001,1735808400000,1752224400000,DEMO-TV-ABE-01,TV-ABE-01,Tavola abete prima patina,"Tavola abete prima patina; materiale demo non identificativo.",merce,true,prelavorato,tavola,abete,prima_patina,28,180,2400,mq,28,4200,8800,22,4200,109000,0,12000,A01-01,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-002,1735894800000,1752310800000,DEMO-TV-LAR-01,TV-LAR-01,Tavola larice seconda patina,"Tavola larice seconda patina; materiale demo non identificativo.",merce,true,prelavorato,tavola,larice,seconda_patina,32,180,2400,mq,28,5500,11200,22,5500,121000,0,12000,A02-02,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-003,1735981200000,1752397200000,DEMO-TV-ROV-01,TV-ROV-01,Tavola rovere prima patina,"Tavola rovere prima patina; materiale demo non identificativo.",merce,true,prelavorato,tavola,rovere,prima_patina,35,180,2400,mq,28,9200,18200,22,9200,163500,33000,12000,A03-03,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-004,1736067600000,1752483600000,DEMO-TV-CAS-01,TV-CAS-01,Tavola castagno naturale,"Tavola castagno naturale; materiale demo non identificativo.",merce,true,prelavorato,tavola,castagno,naturale,30,180,2400,mq,28,7500,14500,22,7500,183000,38000,12000,A04-04,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-005,1736154000000,1752570000000,DEMO-TV-OLM-01,TV-OLM-01,Tavola olmo prima patina,"Tavola olmo prima patina; materiale demo non identificativo.",merce,true,prelavorato,tavola,olmo,prima_patina,38,180,2400,mq,28,8600,16900,22,8600,200000,18000,12000,A05-01,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-006,1736240400000,1752656400000,DEMO-TV-NOC-01,TV-NOC-01,Tavola noce naturale,"Tavola noce naturale; materiale demo non identificativo.",merce,true,prelavorato,tavola,noce,naturale,32,180,2400,mq,28,11000,21500,22,11000,133000,23000,12000,A06-02,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-007,1736326800000,1752742800000,DEMO-PR-ABE-01,PR-ABE-01,Perlinato abete grigio,"Perlinato abete grigio; materiale demo non identificativo.",merce,true,prelavorato,perlinato,abete,grigio,20,180,2400,mq,28,3400,7200,22,3400,149000,28000,12000,A01-03,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-008,1736413200000,1752829200000,DEMO-PR-LAR-01,PR-LAR-01,Perlinato larice bruciato sole,"Perlinato larice bruciato sole; materiale demo non identificativo.",merce,true,prelavorato,perlinato,larice,bruciato_sole,22,180,2400,mq,28,4800,9600,22,4800,166000,33000,12000,A02-04,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-009,1736499600000,1752915600000,DEMO-PN-ROV-01,PN-ROV-01,Pannello rovere recuperato,"Pannello rovere recuperato; materiale demo non identificativo.",merce,true,prelavorato,pannello,rovere,seconda_patina,24,180,2400,mq,28,7800,15800,22,7800,183000,0,12000,A03-01,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-010,1736586000000,1753002000000,DEMO-PN-CAS-01,PN-CAS-01,Pannello castagno spazzolato,"Pannello castagno spazzolato; materiale demo non identificativo.",merce,true,prelavorato,pannello,castagno,spazzolato,24,180,2400,mq,28,6400,13200,22,6400,200000,0,12000,A04-02,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-011,1736672400000,1753088400000,DEMO-LM-OLM-01,LM-OLM-01,Lamella olmo naturale,"Lamella olmo naturale; materiale demo non identificativo.",merce,true,prelavorato,lamella,olmo,naturale,18,180,2400,mq,28,6100,12600,22,6100,132000,0,12000,A05-03,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-012,1736758800000,1753174800000,DEMO-LM-NOC-01,LM-NOC-01,Lamella noce prima patina,"Lamella noce prima patina; materiale demo non identificativo.",merce,true,prelavorato,lamella,noce,prima_patina,18,180,2400,mq,28,8900,17900,22,8900,149000,0,12000,A06-04,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-013,1736845200000,1753261200000,DEMO-TR-ABE-01,TR-ABE-01,Travatura abete recuperata,"Travatura abete recuperata; materiale demo non identificativo.",merce,true,prelavorato,travatura,abete,seconda_patina,180,160,2400,ml,28,2800,6300,22,2800,166000,0,12000,A01-01,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-014,1736931600000,1753347600000,DEMO-TR-LAR-01,TR-LAR-01,Travatura larice recuperata,"Travatura larice recuperata; materiale demo non identificativo.",merce,true,prelavorato,travatura,larice,prima_patina,200,160,2400,ml,28,3900,8200,22,3900,183000,0,12000,A02-02,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-015,1737018000000,1753434000000,DEMO-TR-ROV-01,TR-ROV-01,Travatura rovere recuperata,"Travatura rovere recuperata; materiale demo non identificativo.",merce,true,prelavorato,travatura,rovere,naturale,200,160,2400,ml,28,7200,14500,22,7200,200000,0,12000,A03-03,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-016,1737104400000,1753520400000,DEMO-PV-CAS-01,PV-CAS-01,Pavimento castagno antico,"Pavimento castagno antico; materiale demo non identificativo.",merce,true,prelavorato,pavimento,castagno,prima_patina,20,180,2400,mq,28,8300,16800,22,8300,132000,0,12000,A04-04,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-017,1737190800000,1753606800000,DEMO-PV-OLM-01,PV-OLM-01,Pavimento olmo antico,"Pavimento olmo antico; materiale demo non identificativo.",merce,true,prelavorato,pavimento,olmo,seconda_patina,20,180,2400,mq,28,8800,17600,22,8800,0,0,12000,A05-01,true,Articolo sintetico compatibile con il dominio WoodRevive.
art-018,1737277200000,1753693200000,DEMO-PV-NOC-01,PV-NOC-01,Pavimento noce recuperato,"Pavimento noce recuperato; materiale demo non identificativo.",merce,true,prelavorato,pavimento,noce,naturale,20,180,2400,mq,28,10500,21400,22,10500,0,0,12000,A06-02,true,Articolo sintetico compatibile con il dominio WoodRevive.
