id,created_at,updated_at,id_esterno,codice,tipo,natura_fiscale,ragione_sociale,referente,piva,codice_fiscale,codice_sdi,pec,email,telefono,indirizzo,cap,citta,provincia,nazione,essenze_tipiche,note,attivo
for-001,1735808400000,1750496400000,DEMO-F001,F001,recuperante,societa,Recuperi Alpini Demo S.r.l.,Referente Demo 1,IT20000000000,,S000001,fornitore1@pec.example,ordini1@example.com,+39000100001,Strada Demo 1,30100,Trento,TN,IT,"abete;larice;cirmolo","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-002,1735894800000,1750582800000,DEMO-F002,F002,demolitore,societa,Demolizioni Laguna Demo S.r.l.,Referente Demo 2,IT20000000001,,S000002,fornitore2@pec.example,ordini2@example.com,+39000100002,Strada Demo 2,30101,Venezia,VE,IT,"rovere;olmo","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-003,1735981200000,1750669200000,DEMO-F003,F003,segheria,societa,Segheria Valverde Demo S.r.l.,Referente Demo 3,IT20000000002,,S000003,fornitore3@pec.example,ordini3@example.com,+39000100003,Strada Demo 3,30102,Belluno,BL,IT,"abete;larice","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-004,1736067600000,1750755600000,DEMO-F004,F004,commerciante,societa,Legni Storici Demo S.r.l.,Referente Demo 4,IT20000000003,,S000004,fornitore4@pec.example,ordini4@example.com,+39000100004,Strada Demo 4,30103,Brescia,BS,IT,"rovere;castagno","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-005,1736154000000,1750842000000,DEMO-F005,F005,recuperante,societa,Materiali di Corte Demo S.r.l.,Referente Demo 5,IT20000000004,,S000005,fornitore5@pec.example,ordini5@example.com,+39000100005,Strada Demo 5,30104,Mantova,MN,IT,"olmo;noce","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-006,1736240400000,1750928400000,DEMO-F006,F006,trasportatore,societa,Trasporti Bosco Demo S.r.l.,Referente Demo 6,IT20000000005,,S000006,fornitore6@pec.example,ordini6@example.com,+39000100006,Strada Demo 6,30105,Verona,VR,IT,,"Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-007,1736326800000,1751014800000,DEMO-F007,F007,ferramenta,societa,Ferramenta Restauro Demo S.r.l.,Referente Demo 7,IT20000000006,,S000007,fornitore7@pec.example,ordini7@example.com,+39000100007,Strada Demo 7,30106,Vicenza,VI,IT,,"Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-008,1736413200000,1751101200000,DEMO-F008,F008,recuperante,societa,Recuperi Dolomia Demo S.r.l.,Referente Demo 8,IT20000000007,,S000008,fornitore8@pec.example,ordini8@example.com,+39000100008,Strada Demo 8,30107,Bolzano,BZ,IT,"abete;cirmolo","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-009,1736499600000,1751187600000,DEMO-F009,F009,commerciante,societa,Antiche Travi Demo S.r.l.,Referente Demo 9,IT20000000008,,S000009,fornitore9@pec.example,ordini9@example.com,+39000100009,Strada Demo 9,30108,Aosta,AO,IT,"larice;rovere","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
for-010,1736586000000,1751274000000,DEMO-F010,F010,segheria,societa,Segheria Circolare Demo S.r.l.,Referente Demo 10,IT20000000009,,S000010,fornitore10@pec.example,ordini10@example.com,+39000100010,Strada Demo 10,30109,Cuneo,CN,IT,"castagno;noce","Fornitore sintetico; nessun dato identifica un soggetto reale.",true
