id,fattura_id,posizione,tipo,articolo_id,codice_articolo,descrizione,lotto_id,lotto_codice,quantita_milli,unita_misura,prezzo_unitario_cents,sconto_percentuale,aliquota_iva,imponibile_cents,essenza_snapshot,patina_snapshot,spessore_mm_snapshot,note
rfv-001,fv-001,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,lot-001,L25-001,18000,mq,8800,0,22,158400,abete,prima_patina,28,
rfv-002,fv-002,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,lot-002,L25-002,23000,mq,11200,3,22,249872,larice,seconda_patina,32,
rfv-003,fv-003,1,merce,art-003,TV-ROV-01,Tavola rovere prima patina,lot-003,L25-003,28000,mq,18200,5,22,484120,rovere,prima_patina,35,
rfv-004,fv-004,1,merce,art-004,TV-CAS-01,Tavola castagno naturale,lot-004,L25-004,33000,mq,14500,8,22,440220,castagno,naturale,30,
rfv-005,fv-005,1,merce,art-005,TV-OLM-01,Tavola olmo prima patina,lot-005,L25-005,38000,mq,16900,12,22,565136,olmo,prima_patina,38,
rfv-006,fv-006,1,merce,art-006,TV-NOC-01,Tavola noce naturale,lot-006,L25-006,18000,mq,21500,0,22,387000,noce,naturale,32,
rfv-007,fv-007,1,merce,art-007,PR-ABE-01,Perlinato abete grigio,lot-007,L25-007,23000,mq,7200,3,22,160632,abete,grigio,20,
rfv-008,fv-008,1,merce,art-008,PR-LAR-01,Perlinato larice bruciato sole,lot-008,L25-008,28000,mq,9600,5,22,255360,larice,bruciato_sole,22,
rfv-009,fv-009,1,merce,art-009,PN-ROV-01,Pannello rovere recuperato,lot-009,L25-009,33000,mq,15800,8,22,479688,rovere,seconda_patina,24,
rfv-010,fv-010,1,merce,art-010,PN-CAS-01,Pannello castagno spazzolato,lot-010,L25-010,38000,mq,13200,12,22,441408,castagno,spazzolato,24,
rfv-011,fv-011,1,merce,art-011,LM-OLM-01,Lamella olmo naturale,lot-011,L25-011,18000,mq,12600,0,22,226800,olmo,naturale,18,
rfv-012,fv-012,1,merce,art-012,LM-NOC-01,Lamella noce prima patina,lot-012,L25-012,23000,mq,17900,3,22,399349,noce,prima_patina,18,
rfv-013,fv-013,1,merce,art-013,TR-ABE-01,Travatura abete recuperata,lot-013,L25-013,28000,ml,6300,5,22,167580,abete,seconda_patina,180,
rfv-014,fv-014,1,merce,art-014,TR-LAR-01,Travatura larice recuperata,lot-014,L25-014,33000,ml,8200,8,22,248952,larice,prima_patina,200,
rfv-015,fv-015,1,merce,art-015,TR-ROV-01,Travatura rovere recuperata,lot-015,L25-015,38000,ml,14500,12,22,484880,rovere,naturale,200,
rfv-016,fv-016,1,merce,art-016,PV-CAS-01,Pavimento castagno antico,lot-016,L25-016,18000,mq,16800,0,22,302400,castagno,prima_patina,20,
rfv-017,fv-017,1,merce,art-001,TV-ABE-01,Tavola abete prima patina,lot-001,L25-001,23000,mq,8800,3,22,196328,abete,prima_patina,28,
rfv-018,fv-018,1,merce,art-002,TV-LAR-01,Tavola larice seconda patina,lot-002,L25-002,28000,mq,11200,5,22,297920,larice,seconda_patina,32,
