id,created_at,updated_at,numero,data,cliente_id,cliente_ragione_sociale,cliente_canale,oggetto,agente,provvigione_percentuale,sconto_generale_percentuale,imponibile_cents,iva_cents,totale_cents,validita_giorni,data_scadenza,condizioni_pagamento,tempi_consegna,note,stato,ordine_id
pre-001,1740992400000,1741078800000,PRE-2025-001,2025-03-03,cli-001,Atelier Arco S.r.l.,architetto,Fornitura Tavola abete prima patina — progetto demo 1,Elena,2,0,158400,34848,193248,30,2025-04-02,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Subordinato ad approvazione campione.,accettato,ord-001
pre-002,1741078800000,1741165200000,PRE-2025-002,2025-03-07,cli-002,Cantieri Brenta S.p.A.,impresa,Fornitura Tavola larice seconda patina — progetto demo 2,Luca,3,0,249872,54972,304844,30,2025-04-06,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-002
pre-003,1741165200000,1741251600000,PRE-2025-003,2025-03-11,cli-003,Dimora Lab S.r.l.,showroom,Fornitura Tavola rovere prima patina — progetto demo 3,Marta,4,0,484120,106506,590626,30,2025-04-10,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-003
pre-004,1741251600000,1741338000000,PRE-2025-004,2025-03-15,cli-004,Forma Interni S.r.l.,rivenditore,Fornitura Tavola castagno naturale — progetto demo 4,Elena,2,0,440220,96848,537068,30,2025-04-14,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-004
pre-005,1741338000000,1741424400000,PRE-2025-005,2025-03-19,cli-005,Officina Abitare S.r.l.,diretto,Fornitura Tavola olmo prima patina — progetto demo 5,Luca,3,0,565136,124330,689466,30,2025-04-18,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-005
pre-006,1741424400000,1741510800000,PRE-2025-006,2025-03-23,cli-006,Studio Cedro Associati,architetto,Fornitura Tavola noce naturale — progetto demo 6,Marta,4,0,387000,85140,472140,30,2025-04-22,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-006
pre-007,1741510800000,1741597200000,PRE-2025-007,2025-03-27,cli-007,Edilnova Restauri S.r.l.,impresa,Fornitura Perlinato abete grigio — progetto demo 7,Elena,2,0,160632,35339,195971,30,2025-04-26,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Subordinato ad approvazione campione.,accettato,ord-007
pre-008,1741597200000,1741683600000,PRE-2025-008,2025-03-31,cli-008,Materia Casa S.r.l.,showroom,Fornitura Perlinato larice bruciato sole — progetto demo 8,Luca,3,0,255360,56179,311539,30,2025-04-30,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-008
pre-009,1741683600000,1741770000000,PRE-2025-009,2025-04-04,cli-009,Nordic Habitat S.r.l.,rivenditore,Fornitura Pannello rovere recuperato — progetto demo 9,Marta,4,0,479688,105531,585219,30,2025-05-04,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-009
pre-010,1741770000000,1741856400000,PRE-2025-010,2025-04-08,cli-010,Casa Radice S.r.l.,online,Fornitura Pannello castagno spazzolato — progetto demo 10,Elena,2,0,441408,97110,538518,30,2025-05-08,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-010
pre-011,1741856400000,1741942800000,PRE-2025-011,2025-04-12,cli-011,Progetto Quercia S.r.l.,architetto,Fornitura Lamella olmo naturale — progetto demo 11,Luca,3,0,226800,49896,276696,30,2025-05-12,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-011
pre-012,1741942800000,1742029200000,PRE-2025-012,2025-04-16,cli-012,Corte Antica Hospitality S.r.l.,diretto,Fornitura Lamella noce prima patina — progetto demo 12,Marta,4,0,399349,87857,487206,30,2025-05-16,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-012
