id,created_at,updated_at,numero,data,cliente_id,cliente_ragione_sociale,ordine_id,ordine_numero,causale,trasporto_a_cura,vettore,numero_colli,peso_lordo_kg,data_ora_trasporto,indirizzo_destinazione,valorizzato,imponibile_cents,iva_cents,totale_cents,stato,note
ddt-001,1744102800000,1744189200000,DDT-2025-001,2025-04-08,cli-001,Atelier Arco S.r.l.,ord-001,ORD-2025-001,vendita,mittente,WoodRevive demo,2,153,2025-04-08T08:30:00Z,Cantiere Demo 1,false,158400,34848,193248,emesso,DDT demo.
ddt-002,1744448400000,1744534800000,DDT-2025-002,2025-04-12,cli-002,Cantieri Brenta S.p.A.,ord-002,ORD-2025-002,vendita,vettore,Trasporti Bosco Demo S.r.l.,2,196,2025-04-12T08:30:00Z,"Via Demo 2, Padova",false,249872,54972,304844,emesso,DDT demo.
ddt-003,1744794000000,1744880400000,DDT-2025-003,2025-04-16,cli-003,Dimora Lab S.r.l.,ord-003,ORD-2025-003,vendita,vettore,Trasporti Bosco Demo S.r.l.,3,238,2025-04-16T08:30:00Z,"Via Demo 3, Firenze",false,484120,106506,590626,emesso,DDT demo.
ddt-004,1745139600000,1745226000000,DDT-2025-004,2025-04-20,cli-004,Forma Interni S.r.l.,ord-004,ORD-2025-004,vendita,mittente,WoodRevive demo,3,281,2025-04-20T08:30:00Z,Cantiere Demo 4,false,440220,96848,537068,emesso,DDT demo.
ddt-005,1745485200000,1745571600000,DDT-2025-005,2025-04-24,cli-005,Officina Abitare S.r.l.,ord-005,ORD-2025-005,vendita,vettore,Trasporti Bosco Demo S.r.l.,4,323,2025-04-24T08:30:00Z,"Via Demo 5, Bologna",false,565136,124330,689466,emesso,DDT demo.
ddt-006,1745830800000,1745917200000,DDT-2025-006,2025-04-28,cli-006,Studio Cedro Associati,ord-006,ORD-2025-006,vendita,vettore,Trasporti Bosco Demo S.r.l.,2,153,2025-04-28T08:30:00Z,"Via Demo 6, Roma",false,387000,85140,472140,emesso,DDT demo.
ddt-007,1746176400000,1746262800000,DDT-2025-007,2025-05-02,cli-007,Edilnova Restauri S.r.l.,ord-007,ORD-2025-007,vendita,mittente,WoodRevive demo,2,196,2025-05-02T08:30:00Z,Cantiere Demo 7,false,160632,35339,195971,emesso,DDT demo.
ddt-008,1746522000000,1746608400000,DDT-2025-008,2025-05-06,cli-008,Materia Casa S.r.l.,ord-008,ORD-2025-008,vendita,vettore,Trasporti Bosco Demo S.r.l.,3,238,2025-05-06T08:30:00Z,"Via Demo 8, Genova",false,255360,56179,311539,emesso,DDT demo.
ddt-009,1746867600000,1746954000000,DDT-2025-009,2025-05-10,cli-009,Nordic Habitat S.r.l.,ord-009,ORD-2025-009,vendita,vettore,Trasporti Bosco Demo S.r.l.,3,281,2025-05-10T08:30:00Z,"Via Demo 9, Como",false,479688,105531,585219,emesso,DDT demo.
ddt-010,1747213200000,1747299600000,DDT-2025-010,2025-05-14,cli-010,Casa Radice S.r.l.,ord-010,ORD-2025-010,vendita,mittente,WoodRevive demo,4,323,2025-05-14T08:30:00Z,Cantiere Demo 10,false,441408,97110,538518,emesso,DDT demo.
ddt-011,1747558800000,1747645200000,DDT-2025-011,2025-05-18,cli-011,Progetto Quercia S.r.l.,ord-011,ORD-2025-011,vendita,vettore,Trasporti Bosco Demo S.r.l.,2,153,2025-05-18T08:30:00Z,"Via Demo 11, Bergamo",false,226800,49896,276696,emesso,DDT demo.
ddt-012,1747904400000,1747990800000,DDT-2025-012,2025-05-22,cli-012,Corte Antica Hospitality S.r.l.,ord-012,ORD-2025-012,vendita,vettore,Trasporti Bosco Demo S.r.l.,2,196,2025-05-22T08:30:00Z,"Via Demo 12, Siena",false,399349,87857,487206,emesso,DDT demo.
ddt-013,1748250000000,1748336400000,DDT-2025-013,2025-05-26,cli-013,Linea Restauro S.r.l.,ord-013,ORD-2025-013,vendita,mittente,WoodRevive demo,3,238,2025-05-26T08:30:00Z,Cantiere Demo 13,false,167580,36868,204448,emesso,DDT demo.
ddt-014,1748595600000,1748682000000,DDT-2025-014,2025-05-30,cli-014,Spazio Materico S.r.l.,ord-014,ORD-2025-014,vendita,vettore,Trasporti Bosco Demo S.r.l.,3,281,2025-05-30T08:30:00Z,"Via Demo 14, Parma",false,248952,54769,303721,emesso,DDT demo.
ddt-015,1748941200000,1749027600000,DDT-2025-015,2025-06-03,cli-015,Rovere Contract S.r.l.,ord-015,ORD-2025-015,vendita,vettore,Trasporti Bosco Demo S.r.l.,4,323,2025-06-03T08:30:00Z,"Via Demo 15, Monza",false,484880,106674,591554,emesso,DDT demo.
ddt-016,1749286800000,1749373200000,DDT-2025-016,2025-06-07,cli-016,Architettura Viva S.r.l.,ord-016,ORD-2025-016,vendita,mittente,WoodRevive demo,2,153,2025-06-07T08:30:00Z,Cantiere Demo 16,false,302400,66528,368928,emesso,DDT demo.
ddt-017,1749632400000,1749718800000,DDT-2025-017,2025-06-11,cli-017,Borgo Nuovo Resort S.r.l.,ord-017,ORD-2025-017,vendita,vettore,Trasporti Bosco Demo S.r.l.,1,127,2025-06-11T08:30:00Z,"Via Demo 17, Perugia",false,127613,28075,155688,emesso,DDT demo.
ddt-018,1749978000000,1750064400000,DDT-2025-018,2025-06-15,cli-018,Cantiere Blu S.r.l.,ord-018,ORD-2025-018,vendita,vettore,Trasporti Bosco Demo S.r.l.,2,155,2025-06-15T08:30:00Z,"Via Demo 18, Ravenna",false,193648,42603,236251,emesso,DDT demo.
ddt-019,1749632400000,1749718800000,DDT-2025-019,2025-06-19,cli-017,Borgo Nuovo Resort S.r.l.,ord-017,ORD-2025-017,vendita,mittente,WoodRevive demo,1,80,2025-06-19T08:30:00Z,"Via Demo 17, Perugia",false,68715,15117,83832,emesso,Saldo consegna frazionata.
ddt-020,1749978000000,1750064400000,DDT-2025-020,2025-06-23,cli-018,Cantiere Blu S.r.l.,ord-018,ORD-2025-018,vendita,vettore,Trasporti Bosco Demo S.r.l.,1,83,2025-06-23T08:30:00Z,"Via Demo 18, Ravenna",false,104272,22940,127212,emesso,Saldo consegna frazionata.
